FB1	FB2	L1	L2
AT1G01390.1.Hnull	794	297	883	308
AT1G01400.1.Hnull	1	8	3	6
AT1G01410.1.Hnull	0	0	0	0
AT1G01420.1.Hnull	646	306	1037	304
AT1G01430.1.Hnull	1632	1372	778	1273
AT1G01440.1.Hnull	976	641	1151	668
AT1G01448.1.Hnull	283	146	442	140
AT1G01450.1.Hnull	15	12	17	15
AT1G01453.2.Hnull	2	1	0	3
AT1G01460.1	248	288	3	0
AT1G01470.1	384	416	3189	3397
AT1G01471.1.Hnull	0	0	0	0
AT1G01480.1.Hnull	7	5	27	10
AT1G01490.1.Hnull	3310	1124	2948	1307
AT1G01500.1.Hnull	657	1121	1173	1328
AT1G01510.1	818	2223	890	900
AT1G01520.1.Hnull	825	17	408	18
AT1G01530.1.Hnull	6	0	4	0
AT1G01540.2.Hnull	3376	2278	1815	2700
AT1G01550.1.Hnull	8463	3409	11104	2864
AT1G01560.2.Hnull	270	150	156	119
AT1G01570.1.Hnull	64	33	82	54
AT1G01580.1.Hnull	199	91	389	92
AT1G01590.1.Hnull	131	41	227	67
AT1G01600.1.Hnull	191	242	84	297
AT1G01610.1.Hnull	2038	1784	1969	2035
AT1G01620.1	19845	14506	7483	2017
AT1G01630.1.Hnull	2010	2074	1722	2498
AT1G01640.1.Hnull	89	16	174	28
AT1G01650.1.Hnull	2204	870	2733	1026
AT1G01660.1.Hnull	59	19	64	33
AT1G01670.1.Hnull	122	36	152	52
AT1G01680.1	10	6	133	86
AT1G01690.1.Hnull	89	76	182	76
AT1G01695.1.Hnull	11	8	12	20
AT1G01700.1.Hnull	130	25	173	31
AT1G01710.1.Hnull	1735	866	1682	822
AT1G01720.1	1406	1749	1430	2109
AT1G01725.1.Hnull	511	102	545	81
AT1G01730.1.Hnull	874	325	1211	325
AT1G01740.1.Hnull	300	283	534	251
AT1G01750.1.Hnull	18	72	25	58
AT1G01760.1	116	105	100	87
AT1G01770.1.Hnull	530	614	868	572
AT1G01780.1.Hnull	207	234	321	217
AT1G01790.1.Hnull	14631	8610	9326	9091
AT1G01800.1.Hnull	3035	1466	2851	1471
AT1G01810.1.Hnull	10	13	15	20
AT1G01820.1.Hnull	1782	1388	3379	1660
AT1G01830.2.Hnull	2948	662	3360	589
AT1G01840.1.Hnull	23	52	26	92
AT1G01860.1.Hnull	446	602	437	676
AT1G01870.1.Hnull	0	0	0	0
AT1G01880.1.Hnull	34	29	84	49
AT1G01890.1	0	0	0	0
AT1G01900.1.Hnull	309	400	83	424
AT1G01910.1.Hnull	1344	1858	1426	1943
AT1G01920.1.Hnull	219	364	270	385
AT1G01930.1.Hnull	397	565	582	466
AT1G01940.1	751	360	235	375
AT1G01950.3.Hnull	1082	553	798	578
AT1G01960.1.Hnull	3407	3491	5590	3865
AT1G01970.1.Hnull	1530	1484	1185	1459
AT1G01980.1.Hnull	7	6	6	3
AT1G01990.1	705	719	558	820
AT1G02000.1.Hnull	455	400	433	457
AT1G02010.1.Hnull	679	302	462	314
AT1G02020.1.Hnull	764	615	957	767
AT1G02030.1.Hnull	8	7	21	12
AT1G02040.1.Hnull	1	2	0	0
AT1G02050.1.Hnull	104	148	189	168
AT1G02060.1.Hnull	169	112	217	140
AT1G02065.1.Hnull	7	4	3	3
AT1G02070.1.Hnull	17	2	54	0
AT1G02074.1.Hnull	0	1	0	0
AT1G02080.1.Hnull	5852	3145	9532	3275
AT1G02090.1.Hnull	777	1103	758	1226
AT1G02100.3.Hnull	1250	715	1391	795
AT1G02110.1.Hnull	457	879	529	1053
AT1G02120.1	2121	2197	3848	4594
AT1G02130.1.Hnull	1617	927	1742	978
AT1G02136.1.Hnull	0	0	0	0
AT1G02140.1.Hnull	2367	2456	2513	2442
AT1G02145.3	1185	989	789	972
AT1G02150.1.Hnull	2061	6558	3037	7973
AT1G02160.2	1017	694	455	503
AT1G02170.1.Hnull	870	855	1106	1123
AT1G02180.1	613	475	110	68
AT1G02190.1.Hnull	18	11	9	19
AT1G02205.3.Hnull	1969	605	1548	717
AT1G02210.1.Hnull	0	0	0	0
AT1G02220.1.Hnull	120	35	114	24
AT1G02228.1.Hnull	0	0	0	0
AT1G02230.1.Hnull	26	7	44	10
AT1G02250.1.Hnull	3	4	1	4
AT1G02260.1.Hnull	781	403	1140	489
AT1G02270.1.Hnull	1108	1082	1771	1227
AT1G02280.1.Hnull	967	3346	1017	3258
AT1G02290.1.Hnull	407	192	528	169
AT1G02300.1.Hnull	767	1296	1201	1677
AT1G02305.1.Hnull	4445	1765	6313	2091
AT1G02310.1.Hnull	1	2	1	3
AT1G02320.1.Hnull	0	0	0	1
AT1G02330.1.Hnull	936	641	898	614
AT1G02335.1.Hnull	298	172	74	184
AT1G02340.1	1251	1133	5602	2438
AT1G02350.1.Hnull	216	141	116	150
AT1G02360.1.Hnull	75	70	45	116
AT1G02370.1.Hnull	132	253	306	309
AT1G02380.1.Hnull	80	52	23	45
AT1G02390.1.Hnull	128	114	172	65
AT1G02391.1.Hnull	0	0	0	0
AT1G02400.1.Hnull	62	45	19	45
AT1G02405.1.Hnull	7	7	11	5
AT1G02410.1.Hnull	987	465	822	444
AT1G02420.1	267	198	141	206
AT1G02430.1.Hnull	74	31	63	33
AT1G02440.1	9	28	19	12
AT1G02450.1.Hnull	86	17	26	61
AT1G02460.1	35	105	74	202
AT1G02470.2.Hnull	295	11	275	8
AT1G02475.1.Hnull	3721	934	3497	962
AT1G02480.1.Hnull	0	0	0	0
AT1G02490.1.Hnull	4	0	7	1
AT1G02500.1	9630	12584	11383	8050
AT1G02510.1.Hnull	0	0	0	0
AT1G02520.1.Hnull	16	13	17	10
AT1G02530.1.Hnull	6	36	5	20
AT1G02540.1.Hnull	0	1	0	2
AT1G02550.1.Hnull	0	0	0	0
AT1G02560.1.Hnull	11317	8947	14339	8986
AT1G02570.1	0	0	0	1
AT1G02575.1.Hnull	0	0	0	0
AT1G02580.1.Hnull	4	14	5	31
AT1G02590.1.Hnull	0	1	0	0
AT1G02600.1.Hnull	0	0	0	0
AT1G02610.1.Hnull	362	179	300	160
AT1G02620.1.Hnull	7	33	4	48
AT1G02630.1.Hnull	49	0	52	0
AT1G02640.1.Hnull	318	203	67	224
AT1G02650.1.Hnull	10	25	10	41
AT1G02660.1.Hnull	272	1056	246	734
AT1G02670.1	263	289	23	13
AT1G02680.1.Hnull	368	299	478	311
AT1G02681.1	17	10	0	1
AT1G02690.2.Hnull	88	175	135	193
AT1G02700.1.Hnull	17	17	8	11
AT1G02710.1.Hnull	20	108	21	136
AT1G02720.1	885	917	220	115
AT1G02730.1.Hnull	179	545	55	851
AT1G02740.1	507	401	261	551
AT1G02750.1	474	257	633	481
AT1G02760.1.Hnull	0	0	0	0
AT1G02770.1.Hnull	6	7	24	3
AT1G02780.1.Hnull	9236	18925	9819	19076
AT1G02790.1.Hnull	75	2	54	3
AT1G02800.1.Hnull	9	40	2	31
AT1G02810.1.Hnull	20	23	4	13
AT1G02813.1.Hnull	3	0	1	0
AT1G02816.1.Hnull	788	142	291	160
AT1G02820.1.Hnull	2696	641	513	402
AT1G02830.1.Hnull	3	9	3	20
AT1G02840.1.Hnull	2427	2764	2880	3370
AT1G02850.4.Hnull	1033	52	1603	42
AT1G02860.1.Hnull	225	125	320	164
AT1G02870.1.Hnull	226	477	256	512
AT1G02880.3.Hnull	1147	357	1395	346
AT1G02890.1	1847	4029	4101	6708
AT1G02900.1.Hnull	16	10	4	20
AT1G02910.1.Hnull	2291	2370	2495	2808
AT1G02920.1.Hnull	2632	322	4204	316
AT1G02930.1.Hnull	3124	387	5771	356
AT1G02940.1.Hnull	22	1	7	1
AT1G02950.2.Hnull	144	120	94	152
AT1G02952.1	6	17	0	0
AT1G02960.2.Hnull	745	351	833	341
AT1G02965.1.Hnull	0	15	1	18
AT1G02970.1.Hnull	9	81	3	93
AT1G02980.1.Hnull	3	92	2	94
AT1G02990.3.Hnull	1363	579	1808	574
AT1G03000.1.Hnull	1166	1145	1408	1195
AT1G03010.1.Hnull	236	20	22	21
AT1G03020.1.Hnull	21	9	24	15
AT1G03022.1.Hnull	0	0	0	0
AT1G03030.1	931	727	666	713
AT1G03040.1.Hnull	1674	695	2343	680
AT1G03050.1	1786	2179	16	8
AT1G03055.1	135	71	420	252
AT1G03060.1.Hnull	3409	1847	4434	2068
AT1G03070.1.Hnull	37	9	41	12
AT1G03080.1.Hnull	3599	1737	6979	2124
AT1G03090.2.Hnull	663	601	1026	735
AT1G03100.1.Hnull	73	92	102	121
AT1G03103.1.Hnull	0	0	0	0
AT1G03106.1.Hnull	0	0	9	0
AT1G03110.1.Hnull	113	363	111	321
AT1G03120.1.Hnull	5	6	8	15
AT1G03130.1	3344	12571	40148	30797
AT1G03140.1.Hnull	1632	987	1902	1115
AT1G03150.1.Hnull	476	380	442	378
AT1G03160.1	1145	2059	2888	3909
AT1G03170.1	1427	882	4	22
AT1G03180.1.Hnull	43	46	37	39
AT1G03190.1	540	650	353	494
AT1G03200.1	149	151	201	517
AT1G03210.1	712	623	533	538
AT1G03220.1	154	270	324	127
AT1G03230.1.Hnull	228	768	227	966
AT1G03240.1.Hnull	19	0	34	0
AT1G03250.2.Hnull	1177	918	944	877
AT1G03260.1.Hnull	225	281	206	266
AT1G03270.1.Hnull	117	223	61	251
AT1G03280.1.Hnull	1600	743	1791	801
AT1G03290.1.Hnull	2576	463	3649	519
AT1G03300.1.Hnull	201	138	183	130
AT1G03310.2.Hnull	3492	3569	5132	3520
AT1G03320.1.Hnull	10	14	4	16
AT1G03330.1.Hnull	717	644	582	594
AT1G03340.1.Hnull	78	148	349	135
AT1G03350.1.Hnull	1530	1093	1662	1263
AT1G03360.1.Hnull	78	373	154	323
AT1G03365.1	1066	1145	766	1120
AT1G03370.1.Hnull	2110	981	2725	1355
AT1G03380.1.Hnull	4619	842	5543	1040
AT1G03390.1.Hnull	10	2	5	1
AT1G03400.1.Hnull	2216	847	2070	966
AT1G03410.1.Hnull	192	166	301	212
AT1G03420.1.Hnull	32	17	22	20
AT1G03430.1.Hnull	979	433	1382	463
AT1G03440.1.DE	615	602	1298	880
AT1G03445.1.Hnull	5	21	1	27
AT1G03457.2.Hnull	98	134	28	164
AT1G03470.1.Hnull	36	73	95	111
AT1G03475.1.Hnull	3980	8077	5566	9788
AT1G03490.1.Hnull	3	3	0	6
AT1G03495.1.Hnull	174	91	417	102
AT1G03502.1.Hnull	49	3	85	7
AT1G03506.1.Hnull	3	4	6	3
AT1G03510.1.Hnull	23	44	21	62
AT1G03515.1.Hnull	0	0	0	0
AT1G03520.1.Hnull	691	252	429	234
AT1G03530.1.Hnull	221	662	584	864
AT1G03540.1	111	134	43	49
AT1G03545.1.Hnull	46	43	31	54
AT1G03550.1	653	594	591	1154
AT1G03560.1.Hnull	356	289	336	362
AT1G03570.1	0	0	0	0
AT1G03580.1.Hnull	22	10	151	6
AT1G03590.1.Hnull	683	341	758	348
AT1G03600.1.Hnull	11863	15428	6437	17203
AT1G03610.1.Hnull	1334	1092	976	979
AT1G03620.1	165	128	25	22
AT1G03630.1.Hnull	8330	14691	7647	13563
AT1G03640.1.Hnull	0	0	0	0
AT1G03650.1.Hnull	27	70	60	99
AT1G03660.1.Hnull	6	1	5	3
AT1G03670.1.Hnull	1	3	5	0
AT1G03680.1.Hnull	12968	12249	14725	12917
AT1G03687.1.Hnull	281	490	290	511
AT1G03700.1.Hnull	0	0	0	0
AT1G03710.1.Hnull	6	1	3	8
AT1G03720.1	49	15	0	1
AT1G03730.1.Hnull	242	492	245	652
AT1G03740.1.Hnull	1860	1562	4583	1895
AT1G03743.1.Hnull	0	6	0	2
AT1G03746.1	0	0	0	0
AT1G03750.1.Hnull	354	151	547	143
AT1G03760.1.Hnull	135	213	275	201
AT1G03770.2	365	352	52	127
AT1G03780.3.Hnull	29	108	7	125
AT1G03790.1.Hnull	0	26	0	20
AT1G03800.1	15	23	4	11
AT1G03810.1.Hnull	0	0	0	0
AT1G03820.1	811	541	186	69
AT1G03830.2.Hnull	130	523	210	603
AT1G03840.1.Hnull	41	37	32	24
AT1G03850.1.Hnull	22	78	18	113
AT1G03860.1.Hnull	841	1500	1197	1527
AT1G03870.1.Hnull	1872	567	697	619
AT1G03880.1.Hnull	0	0	0	0
AT1G03890.1.Hnull	0	0	0	0
AT1G03900.1.Hnull	2116	1401	2589	1848
AT1G03905.1.Hnull	80	54	70	76
AT1G03910.2.Hnull	1736	1686	2371	1922
AT1G03920.1.Hnull	30	44	39	30
AT1G03930.1	1153	1083	2130	1571
AT1G03935.1.Hnull	17	2	35	2
AT1G03940.1.Hnull	105	41	393	55
AT1G03950.1.Hnull	789	355	720	342
AT1G03960.1.Hnull	426	393	625	377
AT1G03970.1.Hnull	553	224	817	212
AT1G03980.1.Hnull	5	125	14	125
AT1G03982.1.Hnull	2	0	0	0
AT1G03990.1.Hnull	93	46	122	52
AT1G04000.1.Hnull	546	347	456	289
AT1G04010.1.Hnull	335	271	366	247
AT1G04020.1.Hnull	65	280	11	287
AT1G04030.1.Hnull	78	310	97	258
AT1G04040.1.Hnull	2292	2473	488	2498
AT1G04050.1	668	560	103	118
AT1G04070.1.Hnull	128	104	167	149
AT1G04080.3	3538	4686	2999	3972
AT1G04090.1.Hnull	18	26	5	29
AT1G04100.1.Hnull	209	83	207	71
AT1G04110.1.Hnull	56	219	21	253
AT1G04120.1.Hnull	3485	1241	4032	1379
AT1G04130.1.Hnull	296	187	425	181
AT1G04140.2.Hnull	3561	2362	5213	2688
AT1G04150.1.Hnull	2	12	0	24
AT1G04160.1.Hnull	352	677	230	734
AT1G04170.1.Hnull	2035	2791	2364	2959
AT1G04171.1.Hnull	0	0	0	1
AT1G04180.1.Hnull	55	3	110	8
AT1G04190.1.Hnull	587	590	706	593
AT1G04200.1.Hnull	1084	804	895	734
AT1G04210.1.Hnull	2140	1509	2708	1474
AT1G04220.1.Hnull	687	236	423	211
AT1G04230.1.Hnull	477	293	517	338
AT1G04240.1.Hnull	1827	782	764	668
AT1G04250.1	587	241	1153	573
AT1G04260.1	765	622	442	287
AT1G04270.1.Hnull	4303	6862	3637	6341
AT1G04280.1.Hnull	707	245	679	301
AT1G04290.1.Hnull	549	241	345	210
AT1G04295.1.Hnull	11	25	5	41
AT1G04300.3.Hnull	3429	1888	4313	2027
AT1G04310.1	769	823	294	98
AT1G04320.1	0	0	0	0
AT1G04330.1	21	7	21	6
AT1G04340.1.Hnull	534	328	585	279
AT1G04350.1	1066	981	6617	6812
AT1G04360.1.Hnull	10	132	22	182
AT1G04370.1.Hnull	0	6	2	0
AT1G04380.1.Hnull	25	73	8	79
AT1G04390.1.Hnull	569	286	703	314
AT1G04400.2.Hnull	5655	4724	8528	5224
AT1G04410.1.Hnull	18921	19471	23184	18248
AT1G04420.1.Hnull	3044	6184	1922	5947
AT1G04425.1.Hnull	12	10	1	14
AT1G04430.1.Hnull	3969	4956	1640	5145
AT1G04440.1.Hnull	2270	1248	1656	1296
AT1G04445.1	3	6	4	0
AT1G04450.1.Hnull	0	14	0	11
AT1G04457.1	3	0	4	2
AT1G04470.1.Hnull	10	1	6	0
AT1G04480.1.Hnull	1203	3835	1404	3676
AT1G04490.1	58	32	48	28
AT1G04500.1.Hnull	10	5	33	5
AT1G04501.1.Hnull	0	0	0	0
AT1G04510.1.Hnull	1442	1596	1752	1493
AT1G04520.1	2760	1056	383	58
AT1G04530.1	4189	2594	5587	4842
AT1G04540.1.Hnull	466	37	305	26
AT1G04550.2.Hnull	1577	564	1503	616
AT1G04555.1	306	209	308	276
AT1G04560.1.Hnull	1	1	0	2
AT1G04570.1.Hnull	281	193	847	179
AT1G04580.1.Hnull	5	54	4	89
AT1G04590.2.Hnull	433	532	463	577
AT1G04600.1.Hnull	527	21	1021	31
AT1G04610.1.Hnull	0	4	0	5
AT1G04620.1.Hnull	756	790	559	937
AT1G04625.1.Hnull	0	3	0	6
AT1G04630.1	811	1005	474	432
AT1G04635.1.Hnull	18	47	29	40
AT1G04640.1.Hnull	1267	1413	1104	1350
AT1G04645.1.Hnull	0	0	0	4
AT1G04650.1.Hnull	52	152	68	162
AT1G04660.1.Hnull	0	38	0	50
AT1G04670.1	883	425	0	0
AT1G04680.1.Hnull	2924	3486	654	3583
AT1G04684.1.Hnull	0	1	0	0
AT1G04690.1.Hnull	2555	2870	4249	2682
AT1G04700.1.Hnull	41	51	56	51
AT1G04710.1.Hnull	749	1099	739	1131
AT1G04720.1.Hnull	0	0	0	0
AT1G04730.1.Hnull	61	250	11	276
AT1G04750.1.Hnull	2216	1570	2162	1550
AT1G04760.1.Hnull	12	104	9	93
AT1G04770.1.Hnull	1135	2002	1953	767
AT1G04778.1	13	1	1	0
AT1G04780.1.Hnull	2389	1574	3302	1599
AT1G04790.1.Hnull	897	805	1168	804
AT1G04800.1.Hnull	3487	4277	968	6749
AT1G04810.1.Hnull	1721	2035	2184	2159
AT1G04820.1.Hnull	3581	10029	2744	11890
AT1G04830.2	506	586	621	594
AT1G04840.1.Hnull	28	57	37	46
AT1G04850.1.Hnull	2861	1963	3127	2077
AT1G04860.1	1093	1167	1372	1895
AT1G04870.2.Hnull	542	675	605	665
AT1G04880.1	821	608	4	4
AT1G04890.1.Hnull	0	0	0	0
AT1G04900.1.Hnull	113	250	111	257
AT1G04910.1.Hnull	1177	629	1394	676
AT1G04920.1	438	584	85	22
AT1G04930.2.Hnull	58	66	134	92
AT1G04940.1.Hnull	488	420	455	490
AT1G04945.3	363	349	191	374
AT1G04950.1.Hnull	830	555	1194	505
AT1G04960.2.Hnull	951	561	979	442
AT1G04970.1.Hnull	1300	492	1800	436
AT1G04980.1.Hnull	366	278	373	349
AT1G04985.1	961	836	1502	1406
AT1G04990.2	926	1397	449	626
AT1G05000.2.Hnull	28	40	14	33
AT1G05010.1.Hnull	7407	5684	11489	6657
AT1G05020.1	185	196	11	5
AT1G05030.1.Hnull	724	522	1103	539
AT1G05040.1.Hnull	0	1	2	1
AT1G05055.1.Hnull	323	325	310	440
AT1G05060.1.Hnull	852	281	1296	265
AT1G05061.1.Hnull	10	10	4	15
AT1G05065.1.Hnull	44	28	29	30
AT1G05070.1.Hnull	1065	849	629	834
AT1G05080.1.Hnull	0	0	0	0
AT1G05085.1.Hnull	0	2	3	2
AT1G05090.1.Hnull	61	32	72	50
AT1G05100.1.Hnull	34	37	15	24
AT1G05120.1.Hnull	913	639	1151	759
AT1G05135.1.Hnull	484	3948	416	5004
AT1G05136.1.Hnull	0	0	0	0
AT1G05140.1.Hnull	3473	1804	3569	1986
AT1G05150.1	3468	2550	1920	1368
AT1G05160.1.Hnull	495	307	514	354
AT1G05170.2	867	861	1732	1682
AT1G05180.1.Hnull	811	799	1297	767
AT1G05190.1.Hnull	10588	14341	8075	13771
AT1G05200.1.Hnull	2864	2238	3450	1915
AT1G05205.1.Hnull	267	273	259	392
AT1G05210.1.Hnull	60	134	13	105
AT1G05220.1.Hnull	0	2	4	2
AT1G05230.1.Hnull	1032	560	1078	649
AT1G05240.1	0	0	0	0
AT1G05250.1.Hnull	0	0	1	0
AT1G05260.1.Hnull	10	3	2	2
AT1G05270.1.Hnull	1090	1187	1024	1406
AT1G05280.1.Hnull	0	0	0	0
AT1G05290.1.Hnull	0	0	0	0
AT1G05291.1.Hnull	0	0	0	0
AT1G05300.1.Hnull	114	99	346	145
AT1G05310.1	133	155	82	67
AT1G05320.1.Hnull	1138	883	1170	889
AT1G05330.1	61	30	3	5
AT1G05340.1	93	94	57	25
AT1G05350.1.Hnull	666	740	552	715
AT1G05360.1.Hnull	584	286	387	299
AT1G05370.1.Hnull	17	27	28	19
AT1G05380.1.Hnull	1422	1246	2224	1514
AT1G05385.1.Hnull	752	860	690	760
AT1G05390.1.Hnull	0	0	0	0
AT1G05400.1.Hnull	24	3	44	3
AT1G05410.1.Hnull	397	405	450	378
AT1G05420.1.Hnull	14	10	9	15
AT1G05430.1	1596	968	910	735
AT1G05440.1.Hnull	4	19	1	19
AT1G05450.2.Hnull	2	0	0	0
AT1G05460.1.Hnull	412	523	725	678
AT1G05470.1.Hnull	419	336	190	380
AT1G05490.1.Hnull	15	47	16	54
AT1G05500.1.Hnull	1530	1698	1633	1537
AT1G05510.1.Hnull	1	2	1	1
AT1G05520.1.Hnull	1654	916	2094	1051
AT1G05530.1.Hnull	5	91	3	109
AT1G05540.1.Hnull	264	126	162	154
AT1G05550.3.Hnull	24	5	22	3
AT1G05560.1.Hnull	286	296	291	453
AT1G05562.1.Hnull	43	24	50	38
AT1G05570.1	2714	4573	3714	8308
AT1G05575.1.Hnull	44	218	107	150
AT1G05577.1.Hnull	0	0	4	0
AT1G05580.1.Hnull	16	0	10	1
AT1G05590.1.Hnull	766	665	705	728
AT1G05600.1	383	278	235	298
AT1G05610.1.Hnull	4	16	11	21
AT1G05615.1.Hnull	3	0	0	0
AT1G05620.1.Hnull	240	188	204	256
AT1G05630.1.Hnull	1576	735	877	856
AT1G05640.1.Hnull	42	49	123	70
AT1G05650.1.Hnull	0	0	0	1
AT1G05660.1	0	5	0	0
AT1G05670.1	414	441	281	334
AT1G05675.1.Hnull	54	371	73	393
AT1G05680.1.Hnull	21	69	6	98
AT1G05690.1	272	164	526	589
AT1G05700.1.Hnull	0	0	1	0
AT1G05710.2.Hnull	176	30	48	16
AT1G05720.1.Hnull	484	245	581	280
AT1G05730.1.Hnull	17	40	17	42
AT1G05740.1.Hnull	0	1	0	0
AT1G05750.1.Hnull	129	176	190	227
AT1G05760.1.Hnull	15	3	19	9
AT1G05770.1	25	20	6	7
AT1G05780.1.Hnull	118	118	119	133
AT1G05785.1.Hnull	263	82	269	82
AT1G05790.1.Hnull	775	545	772	543
AT1G05800.1.Hnull	0	3	0	5
AT1G05805.1.Hnull	1406	1976	2363	2183
AT1G05810.1.Hnull	304	191	153	201
AT1G05820.1.Hnull	75	71	63	73
AT1G05830.1.Hnull	1430	1009	1352	1120
AT1G05835.1.Hnull	42	98	9	88
AT1G05840.1.Hnull	1430	492	1514	482
AT1G05850.1	16814	18079	19403	10883
AT1G05860.1.Hnull	403	140	416	120
AT1G05870.1.Hnull	904	424	587	293
AT1G05880.2.Hnull	5	0	2	1
AT1G05890.2.Hnull	2481	1295	3015	1358
AT1G05894.1.Hnull	22	10	17	16
AT1G05900.2	736	483	1531	937
AT1G05910.1.Hnull	1132	836	1444	963
AT1G05920.1.Hnull	0	0	0	0
AT1G05925.1.Hnull	0	0	0	0
AT1G05930.1.Hnull	0	0	0	0
AT1G05940.1.Hnull	1537	1298	2209	1342
AT1G05950.1.Hnull	67	65	53	77
AT1G05960.2.Hnull	1737	1139	2681	1395
AT1G05970.2.Hnull	199	136	197	122
AT1G05980.1.Hnull	0	0	0	0
AT1G05990.1.Hnull	0	2	0	2
AT1G06000.1.Hnull	796	1013	540	1311
AT1G06002.1	8	9	6	5
AT1G06010.1.Hnull	225	282	169	239
AT1G06020.1.Hnull	11	52	6	38
AT1G06030.1.Hnull	2	10	1	11
AT1G06040.1.Hnull	17172	5863	17921	4689
AT1G06050.1.Hnull	352	129	292	103
AT1G06060.1	629	579	700	605
AT1G06070.1.Hnull	643	508	832	612
AT1G06080.1.Hnull	21	172	0	168
AT1G06090.1.Hnull	20	74	6	72
AT1G06100.1.Hnull	0	46	1	46
AT1G06110.1.Hnull	1416	591	1176	568
AT1G06120.1.Hnull	2	66	1	70
AT1G06130.1.Hnull	1437	667	1600	733
AT1G06135.1.Hnull	0	1	0	0
AT1G06137.1.Hnull	1	0	0	0
AT1G06140.1.Hnull	24	42	25	58
AT1G06148.2.Hnull	14	19	43	22
AT1G06149.1.Hnull	101	82	118	73
AT1G06150.1.Hnull	78	131	92	140
AT1G06160.1.Hnull	491	173	548	225
AT1G06170.1.Hnull	6	6	3	13
AT1G06180.1.Hnull	203	43	105	30
AT1G06190.1.Hnull	1424	5181	1854	6360
AT1G06200.1.Hnull	1216	1463	1452	1686
AT1G06210.1.Hnull	1084	757	1590	810
AT1G06220.2.Hnull	2036	2360	3128	2715
AT1G06225.1.Hnull	0	0	0	0
AT1G06230.1.Hnull	2861	1707	3811	1938
AT1G06240.1.Hnull	868	483	779	531
AT1G06250.1.Hnull	77	47	82	42
AT1G06260.1	5354	4502	6	7
AT1G06265.1.Hnull	111	106	91	112
AT1G06270.1.Hnull	96	76	162	81
AT1G06280.1	1207	535	0	1
AT1G06290.1.Hnull	3345	1407	3732	1534
AT1G06310.1	58	52	7	4
AT1G06320.1.Hnull	1	0	0	0
AT1G06330.1.Hnull	0	0	0	0
AT1G06340.1	37	23	7	2
AT1G06350.1	5263	3493	27	4
AT1G06360.1.Hnull	201	839	2	1014
AT1G06370.1.Hnull	124	101	148	105
AT1G06380.1	469	376	184	230
AT1G06390.1.Hnull	2151	1123	2024	1009
AT1G06400.1	2426	1832	2427	2347
AT1G06410.1.Hnull	5769	3813	5452	4746
AT1G06420.1	1231	714	7	4
AT1G06430.1.Hnull	15382	6840	11627	6182
AT1G06440.1	74	46	25	34
AT1G06450.1.Hnull	101	349	129	252
AT1G06460.1.Hnull	4911	9254	11523	9699
AT1G06470.1.Hnull	809	894	955	893
AT1G06475.1.Hnull	11	33	16	22
AT1G06480.1.Hnull	0	0	0	0
AT1G06490.1	182	428	132	155
AT1G06500.1	499	408	264	306
AT1G06510.1.Hnull	688	814	788	821
AT1G06515.1.Hnull	341	259	277	210
AT1G06520.1.Hnull	35	26	21	37
AT1G06530.1.Hnull	1167	2251	1798	2833
AT1G06540.1.Hnull	3	8	0	1
AT1G06550.1	5146	3602	1209	560
AT1G06560.1	473	537	177	248
AT1G06570.1.Hnull	4549	1133	4734	920
AT1G06580.1.Hnull	111	52	71	77
AT1G06590.1.Hnull	266	235	318	270
AT1G06610.1	0	0	0	0
AT1G06620.1.Hnull	113	245	97	258
