FB1	FB2	L1	L2
AT1G02040.1.Hnull	1	2	0	0
AT1G02050.1.Hnull	104	148	189	168
AT1G02060.1	154	401	169	217
AT1G02065.1	473	1415	7	3
AT1G02070.1	135	188	17	54
AT1G02074.1	0	1	0	0
AT1G02080.1	2726	9652	5852	9532
AT1G02090.1	2156	1495	777	758
AT1G02100.3	908	1116	1250	1391
AT1G02110.1	424	1362	457	529
AT1G02120.1	2121	2197	3848	4594
AT1G02130.1	1591	1631	1617	1742
AT1G02136.1	0	0	0	0
AT1G02140.1	5849	3329	2367	2513
AT1G02145.3.Hnull	789	439	972	497
AT1G02150.1	1469	2921	2061	3037
AT1G02160.2	1017	694	455	503
AT1G02170.1	309	868	870	1106
AT1G02180.1	613	475	110	68
AT1G02190.1	3200	9077	18	9
AT1G02205.3	16709	43456	1969	1548
AT1G02210.1	0	0	0	0
AT1G02220.1	84	82	120	114
AT1G02228.1	0	0	0	0
AT1G02230.1	22	53	26	44
AT1G02250.1	9	5	3	1
AT1G02260.1	853	945	781	1140
AT1G02270.1	672	677	1108	1771
AT1G02280.1	3259	2464	967	1017
AT1G02290.1	715	625	407	528
AT1G02300.1	418	802	767	1201
AT1G02305.1	3554	3852	4445	6313
AT1G02310.1	61	79	1	1
AT1G02320.1	0	0	0	0
AT1G02330.1	1925	1019	936	898
AT1G02335.1	490	452	298	74
AT1G02340.1	1251	1133	5602	2438
AT1G02350.1	143	91	216	116
AT1G02360.1	1	4	75	45
AT1G02370.1	586	563	132	306
AT1G02380.1.Hnull	80	52	23	45
AT1G02390.1	14	191	128	172
AT1G02391.1	0	0	0	0
AT1G02400.1	124	92	62	19
AT1G02405.1	5	4	7	11
AT1G02410.1	1342	929	987	822
AT1G02420.1	267	198	141	206
AT1G02430.1	84	47	74	63
AT1G02440.1	9	28	19	12
AT1G02450.1	236	391	86	26
AT1G02460.1	35	105	74	202
AT1G02470.2	936	614	295	275
AT1G02475.1	1344	1052	3721	3497
AT1G02480.1.Hnull	0	0	0	0
AT1G02490.1	12	4	4	7
AT1G02500.1.Hnull	11383	6510	8050	6926
AT1G02510.1	143	138	0	0
AT1G02520.1	810	970	16	17
AT1G02530.1	99	135	6	5
AT1G02540.1	1	3	0	0
AT1G02550.1	0	0	0	0
AT1G02560.1	7231	6332	11317	14339
AT1G02570.1	0	0	0	1
AT1G02575.1	0	0	0	0
AT1G02580.1	18	9	4	5
AT1G02590.1	0	0	0	0
AT1G02600.1	0	0	0	0
AT1G02610.1	97	74	362	300
AT1G02620.1	8	4	7	4
AT1G02630.1	214	164	49	52
AT1G02640.1	2053	1834	318	67
AT1G02650.1	21	17	10	10
AT1G02660.1	900	1657	272	246
AT1G02670.1.Hnull	23	48	13	66
AT1G02680.1	545	532	368	478
AT1G02681.1	17	10	0	1
AT1G02690.2	1702	1402	88	135
AT1G02700.1	12	20	17	8
AT1G02710.1	8	20	20	21
AT1G02720.1	885	917	220	115
AT1G02730.1	4912	4331	179	55
AT1G02740.1	507	401	261	551
AT1G02750.1	474	257	633	481
AT1G02760.1	0	0	0	0
AT1G02770.1	137	140	6	24
AT1G02780.1	31354	24229	9236	9819
AT1G02790.1	34699	21978	75	54
AT1G02800.1	688	2166	9	2
AT1G02810.1.Hnull	20	23	4	13
AT1G02813.1.Hnull	3	0	1	0
AT1G02816.1	1094	585	788	291
AT1G02820.1	295	106	2696	513
AT1G02830.1	8	7	3	3
AT1G02840.1.Hnull	2427	2764	2880	3370
AT1G02850.4	2049	1636	1033	1603
AT1G02860.1	243	298	225	320
AT1G02870.1	881	580	226	256
AT1G02880.3	946	699	1147	1395
AT1G02890.1	1847	4029	4101	6708
AT1G02900.1	457	173	16	4
AT1G02910.1	855	1190	2291	2495
AT1G02920.1	46	7	2632	4204
AT1G02930.1.Hnull	3124	387	5771	356
AT1G02940.1	28	45	22	7
AT1G02950.2	265	250	144	94
AT1G02952.1	6	17	0	0
AT1G02960.2	859	874	745	833
AT1G02965.1.Hnull	0	15	1	18
AT1G02970.1	245	187	9	3
AT1G02980.1	146	139	3	2
AT1G02990.3	1243	1320	1363	1808
AT1G03000.1	669	1260	1166	1408
AT1G03010.1.Hnull	236	20	22	21
AT1G03020.1	10	5	21	24
AT1G03022.1	0	0	0	0
AT1G03030.1	931	727	666	713
AT1G03040.1	2469	1964	1674	2343
AT1G03050.1.Hnull	16	4	8	1
AT1G03055.1	135	71	420	252
AT1G03060.1	1774	4855	3409	4434
AT1G03070.1	119	134	37	41
AT1G03080.1	5773	7528	3599	6979
AT1G03090.2	581	1696	663	1026
AT1G03100.1	214	137	73	102
AT1G03103.1	0	0	0	0
AT1G03106.1	17	7	0	9
AT1G03110.1	1032	648	113	111
AT1G03120.1.Hnull	5	6	8	15
AT1G03130.1	3344	12571	40148	30797
AT1G03140.1	1802	1935	1632	1902
AT1G03150.1	748	459	476	442
AT1G03160.1	1145	2059	2888	3909
AT1G03170.1	1427	882	4	22
AT1G03180.1	279	164	43	37
AT1G03190.1	540	650	353	494
AT1G03200.1	149	151	201	517
AT1G03210.1	712	623	533	538
AT1G03220.1	154	270	324	127
AT1G03230.1.Hnull	228	768	227	966
AT1G03240.1	19	12	19	34
AT1G03250.2	1199	863	1177	944
AT1G03260.1	424	358	225	206
AT1G03270.1	383	400	117	61
AT1G03280.1	1462	1603	1600	1791
AT1G03290.1	2328	2386	2576	3649
AT1G03300.1	718	323	201	183
AT1G03310.2	2238	2053	3492	5132
AT1G03320.1	5	6	10	4
AT1G03330.1	2186	944	717	582
AT1G03340.1	190	113	78	349
AT1G03350.1	2819	1648	1530	1662
AT1G03360.1	1006	545	78	154
AT1G03365.1	1066	1145	766	1120
AT1G03370.1	794	1034	2110	2725
AT1G03380.1	669	1571	4619	5543
AT1G03390.1	561	286	10	5
AT1G03400.1	257	574	2216	2070
AT1G03410.1	87	291	192	301
AT1G03420.1	29	18	32	22
AT1G03430.1	539	579	979	1382
AT1G03440.1.DE	615	602	1298	880
AT1G03445.1	17	22	5	1
AT1G03457.2.Hnull	98	134	28	164
AT1G03470.1	559	582	36	95
AT1G03475.1	4238	4868	3980	5566
AT1G03490.1	15	7	3	0
AT1G03495.1	124	168	174	417
AT1G03502.1	46	47	49	85
AT1G03506.1	3	10	3	6
AT1G03510.1.Hnull	23	44	21	62
AT1G03515.1	0	0	0	0
AT1G03520.1	617	547	691	429
AT1G03530.1	575	769	221	584
AT1G03540.1	111	134	43	49
AT1G03545.1	94	73	46	31
AT1G03550.1.Hnull	591	111	1154	118
AT1G03560.1	441	408	356	336
AT1G03570.1	0	0	0	0
AT1G03580.1	5	7	22	151
AT1G03590.1	1948	1886	683	758
AT1G03600.1	4648	5771	11863	6437
AT1G03610.1.Hnull	1334	1092	976	979
AT1G03620.1	165	128	25	22
AT1G03630.1	4709	4708	8330	7647
AT1G03640.1	0	0	0	0
AT1G03650.1	108	50	27	60
AT1G03660.1	24	24	6	5
AT1G03670.1	7	6	1	5
AT1G03680.1	4450	4784	12968	14725
AT1G03687.1.Hnull	281	490	290	511
AT1G03700.1	47	14	0	0
AT1G03710.1	1082	619	6	3
AT1G03720.1	49	15	0	1
AT1G03730.1	368	244	242	245
AT1G03740.1	482	631	1860	4583
AT1G03743.1	0	0	0	0
AT1G03746.1	0	0	0	0
AT1G03750.1	462	406	354	547
AT1G03760.1	474	415	135	275
AT1G03770.2	365	352	52	127
AT1G03780.3	1605	1500	29	7
AT1G03790.1	11	12	0	0
AT1G03800.1	15	23	4	11
AT1G03810.1	8	3	0	0
AT1G03820.1	811	541	186	69
AT1G03830.2	624	1002	130	210
AT1G03840.1	63	43	41	32
AT1G03850.1	174	124	22	18
AT1G03860.1	2922	2076	841	1197
AT1G03870.1	723	712	1872	697
AT1G03880.1	0	0	0	0
AT1G03890.1	0	0	0	0
AT1G03900.1	2292	2416	2116	2589
AT1G03905.1.Hnull	80	54	70	76
AT1G03910.2	1843	2524	1736	2371
AT1G03920.1	430	386	30	39
AT1G03930.1	1153	1083	2130	1571
AT1G03935.1	13	9	17	35
AT1G03940.1	107	130	105	393
AT1G03950.1	652	407	789	720
AT1G03960.1	379	644	426	625
AT1G03970.1	474	416	553	817
AT1G03980.1	41	30	5	14
AT1G03982.1	0	0	2	0
AT1G03990.1	46	124	93	122
AT1G04000.1	375	498	546	456
AT1G04010.1	645	570	335	366
AT1G04020.1	843	612	65	11
AT1G04030.1	466	489	78	97
AT1G04040.1	780	508	2292	488
AT1G04050.1	668	560	103	118
AT1G04070.1	602	235	128	167
AT1G04080.3	3538	4686	2999	3972
AT1G04090.1	359	356	18	5
AT1G04100.1	341	265	209	207
AT1G04110.1	352	210	56	21
AT1G04120.1	5543	8495	3485	4032
AT1G04130.1	488	700	296	425
AT1G04140.2	1894	4142	3561	5213
AT1G04150.1	98	154	2	0
AT1G04160.1.Hnull	352	677	230	734
AT1G04170.1	5002	3928	2035	2364
AT1G04171.1	0	0	0	0
AT1G04180.1.Hnull	55	3	110	8
AT1G04190.1	2113	1216	587	706
AT1G04200.1	1633	1307	1084	895
AT1G04210.1	2254	3025	2140	2708
AT1G04220.1	1298	2906	687	423
AT1G04230.1	512	562	477	517
AT1G04240.1	787	267	1827	764
AT1G04250.1	587	241	1153	573
AT1G04260.1	765	622	442	287
AT1G04270.1	22856	10954	4303	3637
AT1G04280.1	776	857	707	679
AT1G04290.1	1451	821	549	345
AT1G04295.1.Hnull	11	25	5	41
AT1G04300.3	1556	3012	3429	4313
AT1G04310.1	769	823	294	98
AT1G04320.1	0	0	0	0
AT1G04330.1	21	7	21	6
AT1G04340.1	1715	942	534	585
AT1G04350.1	1066	981	6617	6812
AT1G04360.1	27	22	10	22
AT1G04370.1	0	0	0	2
AT1G04380.1	9	10	25	8
AT1G04390.1	363	491	569	703
AT1G04400.2	3959	5097	5655	8528
AT1G04410.1	24181	19733	18921	23184
AT1G04420.1	2302	1927	3044	1922
AT1G04425.1	172	131	12	1
AT1G04430.1	4216	3708	3969	1640
AT1G04440.1	1539	1744	2270	1656
AT1G04445.1.Hnull	4	0	0	1
AT1G04450.1	277	219	0	0
AT1G04457.1	3	0	4	2
AT1G04470.1	466	1573	10	6
AT1G04480.1	6266	3409	1203	1404
AT1G04490.1	58	32	48	28
AT1G04500.1.Hnull	10	5	33	5
AT1G04501.1	0	0	0	0
AT1G04510.1	2167	2347	1442	1752
AT1G04520.1.Hnull	383	413	58	460
AT1G04530.1	4189	2594	5587	4842
AT1G04540.1	541	1326	466	305
AT1G04550.2	1832	1029	1577	1503
AT1G04555.1	306	209	308	276
AT1G04560.1.Hnull	1	1	0	2
AT1G04570.1	350	322	281	847
AT1G04580.1	874	1270	5	4
AT1G04590.2	1425	1077	433	463
AT1G04600.1	372	526	527	1021
AT1G04610.1	65	65	0	0
AT1G04620.1	403	269	756	559
AT1G04625.1	2	1	0	0
AT1G04630.1	811	1005	474	432
AT1G04635.1	172	77	18	29
AT1G04640.1	622	364	1267	1104
AT1G04645.1.Hnull	0	0	0	4
AT1G04650.1	241	217	52	68
AT1G04660.1	361	1126	0	0
AT1G04670.1	883	425	0	0
AT1G04680.1.Hnull	2924	3486	654	3583
AT1G04684.1	0	0	0	0
AT1G04690.1.Hnull	2555	2870	4249	2682
AT1G04700.1	653	893	41	56
AT1G04710.1	1128	1032	749	739
AT1G04720.1	0	0	0	0
AT1G04730.1	470	419	61	11
AT1G04750.1	6154	3126	2216	2162
AT1G04760.1	444	315	12	9
AT1G04770.1	960	542	1135	1953
AT1G04778.1	13	1	1	0
AT1G04780.1	2174	2510	2389	3302
AT1G04790.1	1013	1375	897	1168
AT1G04800.1	1264	1080	3487	968
AT1G04810.1	1734	2476	1721	2184
AT1G04820.1	15848	27238	3581	2744
AT1G04830.2	506	586	621	594
AT1G04840.1	51	65	28	37
AT1G04850.1	4721	4204	2861	3127
AT1G04860.1.Hnull	1372	1113	1895	1243
AT1G04870.2.Hnull	542	675	605	665
AT1G04880.1	821	608	4	4
AT1G04890.1.Hnull	0	0	0	0
AT1G04900.1.Hnull	113	250	111	257
AT1G04910.1	1547	1305	1177	1394
AT1G04920.1	438	584	85	22
AT1G04930.2	92	205	58	134
AT1G04940.1	864	634	488	455
AT1G04945.3	363	349	191	374
AT1G04950.1	896	1436	830	1194
AT1G04960.2	763	621	951	979
AT1G04970.1	1549	1767	1300	1800
AT1G04980.1	1412	1018	366	373
AT1G04985.1	961	836	1502	1406
AT1G04990.2	926	1397	449	626
AT1G05000.2	161	128	28	14
AT1G05010.1	1040	1092	7407	11489
AT1G05020.1	185	196	11	5
AT1G05030.1	306	402	724	1103
AT1G05040.1	83	36	0	2
AT1G05055.1	574	442	323	310
AT1G05060.1	547	544	852	1296
AT1G05061.1	16	8	10	4
AT1G05065.1	73	39	44	29
AT1G05070.1	1064	658	1065	629
AT1G05080.1.Hnull	0	0	0	0
AT1G05085.1	3	1	0	3
AT1G05090.1	71	72	61	72
AT1G05100.1	144	125	34	15
AT1G05120.1	894	1731	913	1151
AT1G05135.1	21	128	484	416
AT1G05136.1	0	0	0	0
AT1G05140.1	1742	1399	3473	3569
AT1G05150.1	3468	2550	1920	1368
AT1G05160.1	602	585	495	514
AT1G05170.2	867	861	1732	1682
AT1G05180.1	1166	1259	811	1297
AT1G05190.1	11810	7441	10588	8075
AT1G05200.1	514	886	2864	3450
AT1G05205.1	1052	644	267	259
AT1G05210.1.Hnull	60	134	13	105
AT1G05220.1	8	4	0	4
AT1G05230.1	1034	874	1032	1078
AT1G05240.1	0	0	0	0
AT1G05250.1	0	0	0	1
AT1G05260.1	502	305	10	2
AT1G05270.1	1547	1153	1090	1024
AT1G05280.1	5	7	0	0
AT1G05290.1	124	54	0	0
AT1G05291.1	3	1	0	0
AT1G05300.1	50	93	114	346
AT1G05310.1	133	155	82	67
AT1G05320.1	2468	1706	1138	1170
AT1G05330.1	61	30	3	5
AT1G05340.1.Hnull	57	32	25	27
AT1G05350.1	1339	1268	666	552
AT1G05360.1	1647	1130	584	387
AT1G05370.1	112	83	17	28
AT1G05380.1	889	2432	1422	2224
AT1G05385.1	703	541	752	690
AT1G05390.1	0	0	0	0
AT1G05400.1	34	24	24	44
AT1G05410.1	981	731	397	450
AT1G05420.1.Hnull	14	10	9	15
AT1G05430.1	1596	968	910	735
AT1G05440.1	623	371	4	1
AT1G05450.2	261	420	2	0
AT1G05460.1	1096	1290	412	725
AT1G05470.1	939	805	419	190
AT1G05490.1	1109	1257	15	16
AT1G05500.1	3140	2516	1530	1633
AT1G05510.1	4	1	1	1
AT1G05520.1	1456	2340	1654	2094
AT1G05530.1	15	9	5	3
AT1G05540.1	472	595	264	162
AT1G05550.3.Hnull	24	5	22	3
AT1G05560.1	194	208	286	291
AT1G05562.1	8	12	43	50
AT1G05570.1.Hnull	3714	819	8308	1041
AT1G05575.1	9	5	44	107
AT1G05577.1	326	189	0	4
AT1G05580.1	414	1664	16	10
AT1G05590.1.Hnull	766	665	705	728
AT1G05600.1.Hnull	235	290	298	243
AT1G05610.1	52	41	4	11
AT1G05615.1	0	0	3	0
AT1G05620.1	1320	848	240	204
AT1G05630.1	720	1471	1576	877
AT1G05640.1	255	224	42	123
AT1G05650.1	0	0	0	0
AT1G05660.1.Hnull	0	0	0	0
AT1G05670.1	414	441	281	334
AT1G05675.1	6	3	54	73
AT1G05680.1	583	433	21	6
AT1G05690.1	272	164	526	589
AT1G05700.1.Hnull	0	0	1	0
AT1G05710.2.Hnull	176	30	48	16
AT1G05720.1	1685	954	484	581
AT1G05730.1	190	97	17	17
AT1G05740.1	3	3	0	0
AT1G05750.1	183	245	129	190
AT1G05760.1	34	50	15	19
AT1G05770.1	25	20	6	7
AT1G05780.1	323	214	118	119
AT1G05785.1	345	228	263	269
AT1G05790.1	1053	996	775	772
AT1G05800.1	3	2	0	0
AT1G05805.1	673	934	1406	2363
AT1G05810.1	222	161	304	153
AT1G05820.1.Hnull	75	71	63	73
AT1G05830.1	1342	1807	1430	1352
AT1G05835.1	2295	1373	42	9
AT1G05840.1	1144	1166	1430	1514
AT1G05850.1	16814	18079	19403	10883
AT1G05860.1	359	428	403	416
AT1G05870.1	1701	1233	904	587
AT1G05880.2	0	0	5	2
AT1G05890.2	1980	2341	2481	3015
AT1G05894.1	32	17	22	17
AT1G05900.2	736	483	1531	937
AT1G05910.1	1305	1997	1132	1444
AT1G05920.1	27	21	0	0
AT1G05925.1	0	0	0	0
AT1G05930.1	32	5	0	0
AT1G05940.1	598	1541	1537	2209
AT1G05950.1	890	580	67	53
AT1G05960.2	1295	3004	1737	2681
AT1G05970.2.Hnull	199	136	197	122
AT1G05980.1	0	0	0	0
AT1G05990.1.Hnull	0	2	0	2
AT1G06000.1	3684	1964	796	540
AT1G06002.1	8	9	6	5
AT1G06010.1	919	565	225	169
AT1G06020.1	30	22	11	6
AT1G06030.1	64	33	2	1
AT1G06040.1	8248	8043	17172	17921
AT1G06050.1	288	181	352	292
AT1G06060.1.Hnull	700	369	605	354
AT1G06070.1.Hnull	643	508	832	612
AT1G06080.1	1545	1025	21	0
AT1G06090.1.Hnull	20	74	6	72
AT1G06100.1.Hnull	0	46	1	46
AT1G06110.1	1278	1581	1416	1176
AT1G06120.1	10	4	2	1
AT1G06130.1	1327	1066	1437	1600
AT1G06135.1	0	0	0	0
AT1G06137.1	0	1	1	0
AT1G06140.1	56	42	24	25
AT1G06148.2	4	12	14	43
AT1G06149.1	181	156	101	118
AT1G06150.1	198	151	78	92
AT1G06160.1.Hnull	491	173	548	225
AT1G06170.1	664	848	6	3
AT1G06180.1	394	191	203	105
AT1G06190.1	1619	1500	1424	1854
AT1G06200.1	2117	1680	1216	1452
AT1G06210.1	2512	2048	1084	1590
AT1G06220.2	1658	4279	2036	3128
AT1G06225.1	0	0	0	0
AT1G06230.1	2781	3788	2861	3811
AT1G06240.1	501	477	868	779
AT1G06250.1	971	1054	77	82
AT1G06260.1	5354	4502	6	7
AT1G06265.1	1640	1364	111	91
AT1G06270.1	283	290	96	162
AT1G06280.1	1207	535	0	1
AT1G06290.1	2914	3695	3345	3732
AT1G06310.1	58	52	7	4
AT1G06320.1	36	21	1	0
AT1G06330.1	0	0	0	0
AT1G06340.1	37	23	7	2
AT1G06350.1	5263	3493	27	4
AT1G06360.1	1162	526	201	2
AT1G06370.1	130	169	124	148
AT1G06380.1	469	376	184	230
AT1G06390.1	3080	2673	2151	2024
AT1G06400.1	2426	1832	2427	2347
AT1G06410.1	5314	5375	5769	5452
AT1G06420.1	1231	714	7	4
AT1G06430.1	4103	4853	15382	11627
AT1G06440.1	74	46	25	34
AT1G06450.1	365	454	101	129
AT1G06460.1	535	1571	4911	11523
AT1G06470.1	1487	1096	809	955
AT1G06475.1.Hnull	11	33	16	22
AT1G06480.1	0	0	0	0
AT1G06490.1	182	428	132	155
AT1G06500.1	499	408	264	306
AT1G06510.1	615	473	688	788
AT1G06515.1	1064	556	341	277
AT1G06520.1	1096	1462	35	21
AT1G06530.1	1726	1408	1167	1798
AT1G06540.1	60	29	3	0
AT1G06550.1	5146	3602	1209	560
AT1G06560.1	473	537	177	248
AT1G06570.1	1345	1671	4549	4734
AT1G06580.1	128	124	111	71
AT1G06590.1	554	605	266	318
AT1G06610.1	0	0	0	0
AT1G06620.1	476	509	113	97
AT1G06630.1	652	771	629	662
AT1G06640.1	3401	2371	1880	1821
AT1G06645.1	218	215	1131	1267
AT1G06650.2	978	1038	4035	4247
AT1G06660.1	501	387	10	6
AT1G06670.1	2026	3083	1810	2638
AT1G06680.1	44228	49885	151794	92391
AT1G06690.1.Hnull	3354	4565	4302	4644
AT1G06700.1	3610	3305	2115	1785
AT1G06710.1	334	344	172	258
AT1G06720.1	1442	1735	488	1188
AT1G06730.1	525	623	418	409
AT1G06740.1	288	358	209	315
AT1G06750.2	163	155	3	5
AT1G06760.1.Hnull	3064	2567	4794	2474
AT1G06770.1	673	514	374	399
AT1G06780.2	725	731	486	612
AT1G06790.1	593	453	137	246
AT1G06800.1	174	260	460	361
AT1G06810.1	8	7	1	0
AT1G06820.1.Hnull	1752	1487	1564	1657
AT1G06830.1	70	30	200	476
AT1G06840.1	598	921	581	885
AT1G06850.1	307	442	319	103
AT1G06860.1	0	0	0	0
AT1G06870.1	903	795	505	497
AT1G06880.1	0	0	0	0
AT1G06890.1	3270	2822	1448	1788
AT1G06900.1	1120	1840	1067	1168
AT1G06910.1	513	327	317	297
AT1G06920.1	75	46	0	1
AT1G06923.1	3	1	0	0
AT1G06925.1	0	0	0	0
AT1G06930.1	0	1	0	0
AT1G06950.1	4250	6452	2410	3831
AT1G06960.1.Hnull	406	434	282	449
AT1G06970.1	60	187	0	2
AT1G06980.1	58	60	75	39
AT1G06990.1	921	1022	1	0
AT1G07000.1	151	268	1206	1373
AT1G07010.3	2065	1463	6322	4693
AT1G07020.1	750	503	208	158
AT1G07025.1	0	0	0	0
AT1G07030.1	492	797	483	660
AT1G07040.1	1923	2459	1039	2181
AT1G07050.1	20	33	20	33
AT1G07051.1	0	0	0	0
AT1G07060.1	24	9	1	2
AT1G07070.1.Hnull	167	606	170	601
AT1G07080.1	1994	2497	4412	4367
AT1G07090.1	228	291	813	1500
AT1G07100.1	0	0	0	0
AT1G07110.1	2668	3068	8870	7929
AT1G07119.1	45	41	18	55
AT1G07120.1	123	105	19	25
AT1G07128.1	5	6	5	12
AT1G07130.1	45	28	20	39
AT1G07135.1	140	107	143	179
AT1G07140.1	4213	3767	2711	3223
AT1G07150.1	28	52	68	79
AT1G07160.1	2	5	3	2
AT1G07170.1	665	460	264	345
AT1G07175.1	8	4	0	0
AT1G07180.1	1467	962	10071	5010
AT1G07190.1	0	0	0	0
AT1G07200.2	1212	1961	1463	2507
AT1G07210.1	2291	1527	629	734
AT1G07220.1	984	1225	571	703
AT1G07230.1	1778	3020	1988	2938
AT1G07240.1	221	228	1107	1695
AT1G07250.1	1026	1287	2555	2708
AT1G07260.1	160	90	61	71
AT1G07270.1	96	83	8	3
AT1G07280.1	871	1696	8735	12585
AT1G07290.1	112	73	60	66
AT1G07300.1	80	102	144	255
AT1G07310.1	280	1288	1166	1640
AT1G07320.1	5578	6715	5301	4033
AT1G07330.1	542	371	5	1
AT1G07340.1	1439	1204	2	1
AT1G07350.1	746	1995	854	2592
AT1G07360.1.Hnull	1296	1521	1699	1861
AT1G07370.1	1588	802	47	9
AT1G07380.1.Hnull	519	171	867	201
AT1G07390.3	233	263	445	480
AT1G07400.1	280	269	27	134
AT1G07410.1	542	333	46	15
AT1G07420.1	866	1363	792	1460
AT1G07430.1	246	657	454	1121
AT1G07440.1	1988	2167	3478	4184
AT1G07450.1	859	705	169	105
AT1G07460.1	0	0	0	0
AT1G07470.1	534	719	732	692
AT1G07473.1.Hnull	1	1	14	4
AT1G07476.1	12	10	0	0
AT1G07480.1.Hnull	839	478	661	485
AT1G07485.1	26	10	17	0
AT1G07490.1	182	109	54	3
AT1G07500.1	13	2	44	32
AT1G07510.1	1355	2654	1663	2045
AT1G07520.1	437	412	329	435
AT1G07530.1	1749	1934	1910	2837
AT1G07540.1	858	434	2	0
AT1G07550.1	0	0	0	0
AT1G07560.1	0	0	3	0
AT1G07570.3	2015	1310	836	607
AT1G07580.1	0	0	0	0
AT1G07590.1	4704	4063	15745	19696
AT1G07600.1	5	3	26	16
AT1G07610.1	31	24	102	90
AT1G07615.1	345	415	135	170
AT1G07620.1	30	20	1208	1679
AT1G07630.1	675	925	1398	2470
AT1G07640.3	706	783	1070	1529
AT1G07645.1	277	139	1	0
AT1G07650.2	2385	3178	4247	4784
AT1G07660.1	2494	1340	738	632
